taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
7073593	7ea21580-4f06-469d-995b-3f713fdcc37c	98			Phaeophyceae		Phaeophyceae	Phaeophyceae			class			accepted			Chromista	Ochrophyta	Phaeophyceae			
11802204	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11664707			Wukongarchaeales		Wukongarchaeales	Wukongarchaeales			order			accepted			Archaea	Asgardarchaeota	Wukongarchaeia	Wukongarchaeales		
10828253	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10878590			Helarchaeales		Helarchaeales	Helarchaeales			order			accepted			Archaea	Asgardarchaeota	Lokiarchaeia	Helarchaeales		
11177831	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10878590			CR-4						order			accepted			Archaea	Asgardarchaeota	Lokiarchaeia	CR-4		
10687244	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11609823			Odinarchaeales		Odinarchaeales	Odinarchaeales			order			accepted			Archaea	Asgardarchaeota	Odinarchaeia	Odinarchaeales		
10751404	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10872566			UBA460						order			accepted			Archaea	Asgardarchaeota	Heimdallarchaeia	UBA460		
11133383	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10872566			JABLTI01						order			accepted			Archaea	Asgardarchaeota	Heimdallarchaeia	JABLTI01		
11596623	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10872566			Hodarchaeales		Hodarchaeales	Hodarchaeales			order			accepted			Archaea	Asgardarchaeota	Heimdallarchaeia	Hodarchaeales		
10761199	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10862706			Thorarchaeales		Thorarchaeales	Thorarchaeales			order			accepted			Archaea	Asgardarchaeota	Thorarchaeia	Thorarchaeales		
11915166	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11551394			Jordarchaeales		Jordarchaeales	Jordarchaeales			order			accepted			Archaea	Asgardarchaeota	Jordarchaeia	Jordarchaeales		
11424729	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11824439			Baldrarchaeales		Baldrarchaeales	Baldrarchaeales			order			accepted			Archaea	Asgardarchaeota	Baldrarchaeia	Baldrarchaeales		
11453783	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11766235			Borrarchaeales		Borrarchaeales	Borrarchaeales			order			accepted			Archaea	Asgardarchaeota	Sifarchaeia	Borrarchaeales		
11707927	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	11766235			Sifarchaeales		Sifarchaeales	Sifarchaeales			order			accepted			Archaea	Asgardarchaeota	Sifarchaeia	Sifarchaeales		
