taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
10776292	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			Buchananbacterales		Buchananbacterales	Buchananbacterales			order			accepted			Bacteria	Patescibacteria	ABY1	Buchananbacterales		
11732194	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			2-01-FULL-39-33						order			accepted			Bacteria	Patescibacteria	ABY1	2-01-FULL-39-33		
11646959	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			H02-48-17						order			accepted			Bacteria	Patescibacteria	ABY1	H02-48-17		
11789118	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			JACPHY01						order			accepted			Bacteria	Patescibacteria	ABY1	JACPHY01		
11807161	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			GWA2-47-26						order			accepted			Bacteria	Patescibacteria	ABY1	GWA2-47-26		
11114770	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			VMEV01						order			accepted			Bacteria	Patescibacteria	ABY1	VMEV01		
10835856	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			UBA2196						order			accepted			Bacteria	Patescibacteria	ABY1	UBA2196		
11196752	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			SBBB01						order			accepted			Bacteria	Patescibacteria	ABY1	SBBB01		
11887291	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			JAGPKW01						order			accepted			Bacteria	Patescibacteria	ABY1	JAGPKW01		
11771123	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			JACQRZ01						order			accepted			Bacteria	Patescibacteria	ABY1	JACQRZ01		
10829881	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			UBA9570						order			accepted			Bacteria	Patescibacteria	ABY1	UBA9570		
11129975	a97f36e5-ded1-49cc-bdec-ac6170fc7b9c	10789540			CAIXNZ01						order			accepted			Bacteria	Patescibacteria	ABY1	CAIXNZ01		
